'id';'lineEnd';'commaSep';'opAssign';'colonSep';'tInt';'tFloat';'tBool';'tChar';'tString';'arrayBeg';'arrayEnd';'consNumInt';'consNumFlo';'consBool';'consChar';'consString';'arraybeg';'opLogicOr';'opLogicAnd';'opEquals';'opRel';'opPlus';'opMinus';'opMult';'opExp';'paramBeg';'paramEnd';'opUnMinus';'opNot';'rwLength';'rwWhile';'rwFor';'rwIf';'rwElif';'rwElse';'rwPrint';'rwRead';'main';'rwVoid';'scopeBeg';'scopeEnd';'rwReturn';$
;;r73;;;;;;;;;;;;;;;;;;;;;;;;;r73;;;;;;;;;;;;;r73;;;
r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r9;r9;r9;;;r9;r9;r9;;;r9;r9;r9
;r26;r26;;;;;;;;;r26;;;;;;;r26;s86;;;;;;;;r26;;;;;;;;;;;;;;;;
;r28;r28;;;;;;;;;r28;;;;;;;r28;r28;s87;s88;;;;;;r28;;;;;;;;;;;;;;;;
;r30;r30;;;;;;;;;r30;;;;;;;r30;r30;r30;r30;s89;s90;;;;r30;;;;;;;;;;;;;;;;
;r31;r31;;;;;;;;;r31;;;;;;;r31;r31;r31;r31;s89;s90;;;;r31;;;;;;;;;;;;;;;;
;r33;r33;;;;;;;;;r33;;;;;;;r33;r33;r33;r33;r33;r33;s91;;;r33;;;;;;;;;;;;;;;;
;r34;r34;;;;;;;;;r34;;;;;;;r34;r34;r34;r34;r34;r34;s91;;;r34;;;;;;;;;;;;;;;;
;r36;r36;;;;;;;;;r36;;;;;;;r36;r36;r36;r36;r36;r36;r36;s92;;r36;;;;;;;;;;;;;;;;
;r38;r38;;;;;;;;;r38;;;;;;;r38;r38;r38;r38;r38;r38;r38;r38;;r38;;;;;;;;;;;;;;;;
;r40;r40;;;;;;;;;r40;;;;;;;r40;r40;r40;r40;r40;r40;r40;r40;;r40;;;;;;;;;;;;;r40;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
;;;;;;;;;;;s154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r78;r78;;;;;;;;;r78;;;;;;;r78;r78;r78;r78;r78;r78;r78;r78;;r78;;;;;;;;;;;;;r78;;;
;;s140;;;;;;;;;;;;;;;;;;;;;;;;;s155;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;s156;;;;;;;;;;;;;;;;
;r24;r24;;;;;;;;;r24;;;;;;;r24;r24;r24;r24;r24;r24;r24;r24;;r24;;;;;;;;;;;;;r24;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;s12;;;;;;;;;;;;;;;;;
;r17;r17;r17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r98;;
;s159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
r66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r66;r66;r66;;;r66;r66;;;;r66;r66;
r55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r55;r55;r55;;;r55;r55;;;;r55;r55;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
;;;s115;;;;;;;s98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r58;r58;r58;s162;s163;r58;r58;;;;r58;r58;
;;s165;;;;;;;;;;;;;;;;;;;;;;;;;s164;;;;;;;;;;;;;;;;
;;s167;;;;;;;;;;;;;;;;;;;;;;;;;s166;;;;;;;;;;;;;;;;
;;;;;;;;;;;s168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r52;r52;r52;;;;;;;r52;r52;;;;;;;r52;r52;r52;r52;r52;r52;r52;r52;;r52;;;;;;;;;;;;;r52;;;
;r79;r79;;;;;;;;;r79;;;;;;;r79;r79;r79;r79;r79;r79;r79;r79;;r79;;;;;;;;;;;;;r79;;;
;r47;r47;;;;;;;;;r47;;;;;;;r47;r47;r47;r47;r47;r47;r47;r47;;r47;;;;;;;;;;;;;r47;;;
;;r50;;;;;;;;;r50;;;;;;;;;;;;;;;;r50;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;r77;;;;;;;;;;;;;;;;
r53;;;;;;;;;;;;r53;r53;r53;r53;r53;r53;;;;;;;;;r53;;r53;r53;r53;r53;r53;r53;;;r53;r53;;;;r53;r53;
;s169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;s171;;;;;;;;;;;;;;;;;;;;;;;;;;s170;;;;;;;;;;;;;;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s32;;;
;s174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
;s176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
;r51;r51;r51;;;;;;;r51;r51;;;;;;;r51;r51;r51;r51;r51;r51;r51;r51;;r51;;;;;;;;;;;;;r51;;;
r54;;;;;;;;;;;;r54;r54;r54;r54;r54;r54;;;;;;;;;r54;;r54;r54;r54;r54;r54;r54;;;r54;r54;;;;r54;r54;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s32;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s32;;;
r61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r61;r61;r61;;;r61;r61;;;;r61;r61;
r62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r62;r62;r62;;;r62;r62;;;;r62;r62;
;;s140;;;;;;;;;;;;;;;;;;;;;;;;;s181;;;;;;;;;;;;;;;;
r64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r64;r64;r64;;;r64;r64;;;;r64;r64;
;;s140;;;;;;;;;;;;;;;;;;;;;;;;;s182;;;;;;;;;;;;;;;;
r56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r56;r56;r56;;;r56;r56;;;;r56;r56;
;;;;;;;;;;;;;;;;;;;;;;;;;;;s183;;;;;;;;;;;;;;;;
r59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r59;r59;r59;;s184;r59;r59;;;;r59;r59;
;s185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;s186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s32;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s32;;;
r63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r63;r63;r63;;;r63;r63;;;;r63;r63;
r65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r65;r65;r65;;;r65;r65;;;;r65;r65;
r57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r57;r57;r57;;;r57;r57;;;;r57;r57;
r60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r60;r60;r60;;;r60;r60;;;;r60;r60;
