'id';'lineEnd';'commaSep';'opAssign';'colonSep';'tInt';'tFloat';'tBool';'tChar';'tString';'arrayBeg';'arrayEnd';'consNumInt';'consNumFlo';'consBool';'consChar';'consString';'arraybeg';'opLogicOr';'opLogicAnd';'opEquals';'opRel';'opPlus';'opMinus';'opMult';'opExp';'paramBeg';'paramEnd';'opUnMinus';'opNot';'rwLength';'rwWhile';'rwFor';'rwIf';'rwElif';'rwElse';'rwPrint';'rwRead';'main';'rwVoid';'scopeBeg';'scopeEnd';'rwReturn';$
;r44;r44;;;;;;;;s137;r44;;;;;;;r44;r44;r44;r44;r44;r44;r44;r44;;r44;;;;;;;;;;;;;r44;;;
;r45;r45;;;;;;;;;r45;;;;;;;r45;r45;r45;r45;r45;r45;r45;r45;;r45;;;;;;;;;;;;;r45;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;s139;s50;s51;s53;;;;;;;;;;;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;;;s50;s51;s53;;;;;;;;;;;;;
;;s143;;;;;;;;;s142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;r48;;;;;;;;;r48;;;;;;;;;;;;;;;;r48;;;;;;;;;;;;;;;;
;;s144;;;;;;;;;;;;;;;;;;;;;;;;;r76;;;;;;;;;;;;;;;;
;;;;;;;;;;;s145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r66
r81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r81;r81;r81;r81;r81;r81;r81;r81;;;r81;r81;r81
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r82;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r84;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r86;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r88;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r90;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r92;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r94;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r96;;
;s146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;;;s148;;;;;;;s137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;s149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s33;;;
s152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s33;;;
;;;;;;;;;;;;;;;;s154;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;s155;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;r73;;;;;;;;;;;;;;;;;;;;;;;;;r73;;;;;;;;;;;;;r73;;;
r8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r8;r8;r8;;;r8;r8;r8;;;r8;r8;
;r25;r25;;;;;;;;;r25;;;;;;;r25;s88;;;;;;;;r25;;;;;;;;;;;;;;;;
;r27;r27;;;;;;;;;r27;;;;;;;r27;r27;s89;s90;;;;;;r27;;;;;;;;;;;;;;;;
;r29;r29;;;;;;;;;r29;;;;;;;r29;r29;r29;r29;s91;s92;;;;r29;;;;;;;;;;;;;;;;
;r30;r30;;;;;;;;;r30;;;;;;;r30;r30;r30;r30;s91;s92;;;;r30;;;;;;;;;;;;;;;;
;r32;r32;;;;;;;;;r32;;;;;;;r32;r32;r32;r32;r32;r32;s93;;;r32;;;;;;;;;;;;;;;;
;r33;r33;;;;;;;;;r33;;;;;;;r33;r33;r33;r33;r33;r33;s93;;;r33;;;;;;;;;;;;;;;;
;r35;r35;;;;;;;;;r35;;;;;;;r35;r35;r35;r35;r35;r35;r35;s94;;r35;;;;;;;;;;;;;;;;
;r37;r37;;;;;;;;;r37;;;;;;;r37;r37;r37;r37;r37;r37;r37;r37;;r37;;;;;;;;;;;;;;;;
;r39;r39;;;;;;;;;r39;;;;;;;r39;r39;r39;r39;r39;r39;r39;r39;;r39;;;;;;;;;;;;;r39;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;;;;;;;;;;;s157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r78;r78;;;;;;;;;r78;;;;;;;r78;r78;r78;r78;r78;r78;r78;r78;;r78;;;;;;;;;;;;;r78;;;
;;s143;;;;;;;;;;;;;;;;;;;;;;;;;s158;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;s159;;;;;;;;;;;;;;;;
;r23;r23;;;;;;;;;r23;;;;;;;r23;r23;r23;r23;r23;r23;r23;r23;;r23;;;;;;;;;;;;;r23;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;s12;;;;;;;;;;;;;;;;;
;r16;r16;r16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r98;;
;s162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
